"","Survey","Transect","Team","Species","ID","Distance","Detected","Beaufort","Glare","Subjective","Swell","TOD","Group.size","Group","W.R","W.L","y10","y01","y11"
"438","NES",3039242,"upper","STDO",46065,1801.672,1,3.019,1,3,0.5,17.904,75,2,5000,0,0,0,1
"440","NES",3039967,"upper","STDO",46094,0,1,2.5,3,0.837,0.75,10.031,13,2,5000,0,0,0,1
"442","NES",3039967,"upper","STDO",46095,277.2643,1,2.5,3,0.837,0.6,10.13,10,2,5000,0,1,0,0
"443","NES",3038304,"upper","STDO",46162,1323.252,1,3.524,3,2.075,0.6,20.165,48,2,5000,0,0,0,1
"445","NES",3037344,"upper","STDO",46172,60.53044,1,2.8,3,2,0.5,10.843,21,2,5000,0,0,0,1
"448","NES",3037550,"upper","STDO",46710,1673.088,0,3.57,3,2,0.75,14.102,35,2,5000,0,0,1,0
"450","NES",3035887,"upper","STDO",46982,3438.765,1,1.717,3,1.246,0.25,13.127,55,2,5000,0,0,0,1
"452","NES",3036129,"upper","STDO",47003,2470.234,1,2.37,1,3,0.3,15.017,12,2,5000,0,0,0,1
"454","NES",3035420,"upper","STDO",47190,136.0618,1,3.289,3,1.833,0.5,12.976,1,2,5000,0,1,0,0
"456","NES",3035420,"upper","STDO",47191,2576.897,0,3.289,3,1.833,0.5,13.001,47,2,5000,0,0,1,0
"457","NES",3035420,"upper","STDO",47192,590.8847,1,3.289,3,1.833,0.5,13.01,75,2,5000,0,1,0,0
"460","NES",3035420,"upper","STDO",47194,552.5142,1,3.289,3,1.833,0.5,13.021,25,2,5000,0,1,0,0
